2MASS J1645-4521       ;Sco  ;16 45 44.6 -45 21 51 ;IR   ;EC?  ;    1.30;      ;       ;                                                       ;
SFC 36                 ;Nor  ;16 34 19.2 -47 56 52 ;IR   ;OB   ;   12.00;  7800;       ;RMM 36                                                 ;
SFC 37                 ;Ara  ;16 36 29.3 -47 19 29 ;Op   ;OB   ;   20.00; 10900;       ;RM 37                                                  ;
SFC 39                 ;Ara  ;16 39 57.2 -46 21 15 ;Op   ;OB   ;   14.00;  8200;       ;RM 39, LMR 230                                         ;
SFC 5 A                ;Sct  ;18 34 57.4 -08 56 11 ;IR   ;OB   ;   12.00;  4900;       ;RMM 5a                                                 ;
SFC 5 B                ;Sct  ;18 33 57.0 -09 00 36 ;IR   ;OB   ;    6.00;  4900;       ;RMM 5b                                                 ;
SFC 6                  ;Sct  ;18 34 34.6 -08 34 16 ;IR   ;OB   ;   18.00;  9200;       ;RMM 6                                                  ;
SFC 7 A                ;Sct  ;18 34 38.1 -07 53 53 ;IR   ;OB   ;   10.00;  5800;       ;RMM 7a                                                 ;
SFC 7 B                ;Sct  ;18 33 42.1 -08 13 16 ;IR   ;OB   ;   14.00;  5800;       ;RMM 7b                                                 ;
SFC 8                  ;Sct  ;18 36 39.9 -07 58 47 ;IR   ;OB   ;   26.00; 10300;       ;RMM 8, LMR 53                                          ;Massive
SGR 1806-20 Cl         ;Sgr  ;18 08 39.0 -20 24 39 ;IR   ;OC   ;    0.80;  8860;   6.60;BDB 5                                                  ;
SGR 1900+14 Cl         ;Aql  ;19 07 14.0 +09 19 21 ;IR   ;OC   ;    0.30; 13530;       ;BDB 25                                                 ;
SHU 102                ;Cen  ;11 50 17.0 -61 37 41 ;IR   ;OC   ;    1.00;      ;       ;                                                       ;
SHU 113                ;Nor  ;15 47 49.0 -54 58 55 ;IR   ;OC?  ;    0.50;      ;       ;                                                       ;In pair
SHU 121                ;Sco  ;17 00 59.0 -42 30 00 ;IR   ;OC   ;    2.00;      ;       ;                                                       ;
SHU 123                ;Sco  ;17 03 06.0 -40 17 08 ;IR   ;OC?  ;    0.80;      ;       ;                                                       ;In pair
SHU 125                ;Sco  ;17 23 30.0 -37 01 34 ;IR   ;OC   ;    1.00;      ;       ;                                                       ;
SHU 64                 ;Ara  ;16 38 10.0 -48 51 47 ;IR   ;EC   ;    1.40;  1800;       ;La Serena 381                                          ;
SHU 65                 ;Ara  ;16 39 43.3 -47 12 56 ;IR   ;OC   ;    1.30;  3000;       ;La Serena 388, IRAS 16360-4707                         ;Dist from Urquhart 2018
SHU 66                 ;Ara  ;16 40 48.0 -47 15 14 ;IR   ;EC   ;    0.40;  2400;       ;                                                       ;In HII reg WISE G337.78-0.50
SHU 67                 ;Ara  ;16 42 27.0 -46 46 55 ;IR   ;EC   ;    0.50;  2800;       ;La Serena 399                                          ;
SHU 68                 ;Ara  ;16 40 55.0 -45 50 49 ;IR   ;EC   ;    1.00;  4100;       ;La Serena 395, IRAS 16372-4545                         ;In HII reg WISE G338.85+0.40
SHU 72                 ;Ara  ;16 51 06.0 -46 15 54 ;IR   ;EC?  ;    1.10;  2400;       ;La Serena 422                                          ;
SMASH Field 44-01      ;Men  ;05 30 41.8 -75 40 08 ;Op   ;GC   ;    0.80; 49900;       ;                                                       ;From arXiv:1612.09221v1, aprox diam from DSS2 image
SPB 1                  ;Cen  ;11 32 51.0 -63 27 06 ;IR   ;OC   ;    2.50;      ;       ;                                                       ;In BRC 65
SS 433 Cl              ;Aql  ;19 11 50.0 +04 58 58 ;IR   ;OC?  ;    4.00;  4600;       ;                                                       ;Dubious, related to SNR W 50, dist of SS 433
SUH 10                 ;Sct  ;18 34 13.9 -09 01 09 ;IR   ;EC   ;    1.00;  4600;       ;                                                       ;In HII reg WISE G22.95-0.31, dist from Anderson+ 2014
SUH 103                ;Cep  ;22 34 11.0 +58 33 50 ;IR   ;OC?  ;    0.15;      ;       ;                                                       ;
SUH 104                ;Cep  ;22 34 02.0 +58 44 42 ;IR   ;OC?  ;    0.20;      ;       ;                                                       ;
SUH 11                 ;Sct  ;18 36 05.0 -08 12 36 ;IR   ;EC   ;    1.40;  3900;       ;                                                       ;In HII reg WISE G23.88-0.35, dist from Anderson+ 2014
SUH 118                ;Aur  ;05 30 17.0 +38 23 08 ;IR   ;OC?  ;    0.25;      ;       ;                                                       ;
SUH 12                 ;Sct  ;18 36 27.3 -07 40 34 ;IR   ;EC   ;    0.50;  4000;       ;                                                       ;In HII reg WISE G24.39-0.19, dist from Anderson+ 2014
SUH 120                ;Aur  ;05 33 40.0 +37 41 05 ;IR   ;OC?  ;    0.40;      ;       ;                                                       ;
SUH 125                ;Mon  ;06 27 04.0 +04 03 37 ;IR   ;OC?  ;    0.50;      ;       ;                                                       ;
SUH 129                ;Mon  ;06 39 52.0 +01 20 41 ;IR   ;OC?  ;    0.80;      ;       ;Froebrich Cl 133, IRAS 06372+0123                      ;
SUH 13                 ;Sct  ;18 38 19.4 -06 42 58 ;IR   ;EC   ;    0.90;  5130;       ;                                                       ;In HII reg WISE G25.46-0.15, dist from Roman-Duval+, 2009
SUH 132                ;Mon  ;06 54 44.0 +01 15 51 ;IR   ;OC?  ;    0.70;      ;       ;                                                       ;
SUH 135                ;Mon  ;07 12 48.0 -07 42 34 ;IR   ;OC?  ;    0.80;      ;       ;                                                       ;
SUH 138                ;Aql  ;18 54 00.8 +02 01 27 ;IR   ;EC   ;    1.00;  3500;       ;                                                       ;In HII reg WISE G35.02+0.35
SUH 14                 ;Sct  ;18 38 16.1 -05 29 42 ;IR   ;EC   ;    1.50;  9900;       ;Froebrich Cl 143, IRAS 18355-0532                      ;In HII reg WISE G26.54+0.41, dist from Anderson+ 2014
SUH 140                ;Aql  ;19 02 11.0 +01 21 04 ;IR   ;EC   ;    2.00;  2800;       ;IRAS 18596+0116                                        ;In HII reg WISE G35.35-1.77
SUH 141                ;Aql  ;19 04 03.0 +02 16 52 ;IR   ;EC   ;    1.00;  2490;       ;IRAS 19015+0212                                        ;
SUH 142                ;Aql  ;19 00 16.0 +04 03 14 ;IR   ;EC   ;    1.60; 10200;       ;                                                       ;In HII reg WISE G37.54-0.11
SUH 143                ;Aql  ;18 59 07.0 +07 02 56 ;IR   ;EC   ;    0.60;  1900;       ;                                                       ;Dist from Urquhart+ 2018
SUH 144                ;Vul  ;19 33 29.6 +19 56 48 ;Op   ;OC   ;   18.60;  4098;   9.91;                                                       ;
SUH 146                ;Vul  ;19 43 48.5 +23 29 17 ;IR   ;EC   ;    0.50;  4300;       ;                                                       ;
SUH 15                 ;Sct  ;18 44 49.0 -04 01 41 ;IR   ;EC   ;    2.80;  5400;       ;                                                       ;Two HII regs, dist from Anderson+ 2014
SUH 152                ;Cyg  ;20 26 37.0 +39 46 16 ;IR   ;OC   ;    5.00;      ;       ;                                                       ;
SUH 154                ;Cyg  ;20 23 44.0 +41 17 04 ;IR   ;OC   ;    3.00;      ;       ;                                                       ;
SUH 155                ;Cyg  ;20 37 15.0 +39 49 01 ;IR   ;OC   ;    6.00;      ;       ;                                                       ;
SUH 159                ;Cyg  ;20 51 19.0 +44 50 31 ;IR   ;OC   ;    2.00;      ;       ;                                                       ;
SUH 16                 ;Aql  ;18 43 03.2 -03 41 46 ;IR   ;EC   ;    0.60;  9600;       ;                                                       ;In HII reg HRDS G28.68+0.17, dist from Anderson+ 2012
SUH 160                ;Per  ;04 21 38.0 +37 34 44 ;IR   ;OC   ;    3.00;      ;       ;                                                       ;
SUH 163                ;Mon  ;06 32 07.0 +03 50 05 ;IR   ;OC   ;    4.00;      ;       ;                                                       ;
SUH 166                ;Mon  ;06 59 32.0 -04 05 34 ;IR   ;OC   ;    1.50;      ;       ;                                                       ;
SUH 17                 ;Ser  ;18 37 50.0 -01 45 25 ;IR   ;EC   ;    1.80;  2090;       ;                                                       ;
SUH 18                 ;Aql  ;18 46 02.3 -02 45 43 ;IR   ;EC   ;    1.90;  6300;       ;                                                       ;In HII reg WISE G29.86-0.05, dist from Anderson+ 2014
SUH 19                 ;Aql  ;18 48 40.0 -03 03 50 ;IR   ;EC   ;    3.30;  5100;       ;                                                       ;In HII reg WISE G29.88-0.78, dist from Anderson+ 2014
SUH 2                  ;Sgr  ;18 15 11.0 -17 44 35 ;IR   ;OC?  ;    0.75;      ;       ;                                                       ;
SUH 22                 ;Aql  ;18 51 57.0 +01 16 59 ;IR   ;EC   ;    2.30; 11700;       ;IRAS 18494+0113                                        ;In HII reg WISE G34.13+0.47, dist from Anderson+ 2014
SUH 24                 ;Aql  ;19 01 54.0 +04 12 58 ;IR   ;EC   ;    2.00;  9500;       ;                                                       ;In HII reg WISE G37.87-0.39
SUH 27                 ;Aql  ;19 09 54.0 +07 57 22 ;IR   ;EC   ;    1.50;  8900;       ;IRAS 19074+0752                                        ;In HII reg WISE G42.11-0.44
SUH 28                 ;Aql  ;19 10 10.1 +08 44 08 ;IR   ;EC   ;    1.40;  4660;       ;IRAS 19077+0839, Mol 96                                ;In and arc with 2 HII reg, dit from Molinari, 1996
SUH 29                 ;Aql  ;19 12 11.0 +08 52 23 ;IR   ;EC   ;    1.80;  8100;       ;                                                       ;In HII reg WISE G43.18-0.52, poss two ECs here
SUH 32                 ;Aql  ;19 14 52.6 +11 02 37 ;IR   ;EC   ;    0.50;  2650;       ;IRAS 19125+1057                                        ;In HII reg WISE G45.41-0.10
SUH 35                 ;Aql  ;19 22 15.0 +14 38 06 ;IR   ;EC   ;    0.90;  5500;       ;IRAS 19199+1432                                        ;In HII reg WISE G49.43-0.00
SUH 36                 ;Aql  ;19 22 50.0 +14 53 20 ;IR   ;EC   ;    0.70;  5500;       ;IRAS 19205+1447                                        ;In HII reg WISE G49.72-0.01
SUH 37                 ;Aql  ;19 21 28.0 +15 44 24 ;IR   ;EC   ;    0.60;  1900;       ;                                                       ;In HII reg WISE G50.31+0.67
SUH 38                 ;Aql  ;19 20 38.3 +16 02 15 ;IR   ;EC   ;    0.90;  2900;       ;IRAS 19183+1556, Mol 101                               ;In HII reg WISE G50.48+0.99
SUH 39                 ;Aql  ;19 28 37.6 +15 49 40 ;IR   ;EC   ;    0.20;  3030;       ;IRAS 19263+1543                                        ;In HII reg IRAS 19263+1543
SUH 4                  ;Sct  ;18 25 10.6 -12 42 17 ;IR   ;EC   ;    1.10; 12500;       ;VVVX CL 110                                            ;Small Grp in HII reg WISE G018.657-00.057
SUH 40                 ;Aql  ;19 29 20.0 +15 57 07 ;IR   ;EC   ;    0.80;  5300;       ;IRAS 19270+1550                                        ;In HII reg WISE G51.40-0.89
SUH 41                 ;Aql  ;19 28 22.8 +16 06 16 ;IR   ;EC   ;    0.40;  2320;       ;IRAS 19261+1600                                        ;In HII reg WISE G51.42-0.62
SUH 51                 ;Vul  ;19 28 56.0 +19 33 29 ;IR   ;EC   ;    0.35;  7300;       ;                                                       ;
SUH 52                 ;Vul  ;19 37 10.9 +20 26 57 ;IR   ;EC   ;    0.60;  5000;       ;                                                       ;
SUH 53                 ;Vul  ;19 39 39.2 +21 37 33 ;IR   ;EC   ;    1.00;  8800;       ;                                                       ;
SUH 54                 ;Vul  ;19 37 52.0 +21 53 24 ;IR   ;EC   ;    0.55;  4000;       ;                                                       ;Dist is very uncertain, based on only 1*
SUH 55                 ;Vul  ;19 38 40.6 +21 49 32 ;IR   ;EC   ;    0.60;  4500;       ;                                                       ;2 Emb Cl?
SUH 58                 ;Vul  ;19 48 15.0 +28 07 30 ;IR   ;EC   ;    0.40; 13100;       ;                                                       ;
SUH 59                 ;Cyg  ;19 59 13.0 +31 27 47 ;IR   ;OC?  ;    0.45;      ;       ;                                                       ;
SUH 6                  ;Sct  ;18 26 48.0 -12 26 31 ;IR   ;EC   ;    1.60;  4600;       ;                                                       ;Two HII regions, dist from Anderson+ 2014
SUH 60                 ;Cyg  ;20 08 50.0 +33 37 34 ;IR   ;OC?  ;    0.60;      ;       ;                                                       ;
SUH 63                 ;Cyg  ;20 08 44.0 +34 25 01 ;IR   ;OC?  ;    0.50;      ;       ;                                                       ;
SUH 65                 ;Cyg  ;20 11 46.0 +36 49 34 ;IR   ;OC?  ;    0.40;      ;       ;                                                       ;
SUH 66                 ;Cyg  ;20 11 54.0 +36 52 26 ;IR   ;OC?  ;    0.65;      ;       ;                                                       ;
SUH 69                 ;Cyg  ;20 32 07.0 +37 37 30 ;IR   ;OC?  ;    0.55;      ;       ;                                                       ;
SUH 7                  ;Sct  ;18 29 55.5 -10 59 29 ;IR   ;EC   ;    1.10;  4300;       ;                                                       ;In HII reg WISE G20.71-0.29, dist from Anderson+ 2014
SUH 70                 ;Cyg  ;20 32 54.0 +37 51 29 ;IR   ;OC?  ;    0.90;      ;       ;                                                       ;
SUH 72                 ;Cyg  ;20 12 33.0 +40 47 49 ;IR   ;OC?  ;    0.75;      ;       ;                                                       ;
SUH 73                 ;Cyg  ;20 34 33.0 +38 08 02 ;IR   ;OC?  ;    0.55;      ;       ;                                                       ;
SUH 74                 ;Cyg  ;20 26 35.0 +40 21 04 ;IR   ;OC?  ;    0.45;      ;       ;                                                       ;
SUH 75                 ;Cyg  ;20 32 01.0 +39 38 05 ;IR   ;OC?  ;    0.50;      ;       ;                                                       ;
SUH 76                 ;Cyg  ;20 23 44.0 +40 59 53 ;IR   ;OC?  ;    0.35;      ;       ;                                                       ;
SUH 77                 ;Cyg  ;20 34 42.0 +39 45 00 ;IR   ;OC?  ;    0.55;      ;       ;                                                       ;
SUH 8                  ;Sct  ;18 30 34.2 -10 21 41 ;IR   ;EC   ;    1.30;  4500;       ;                                                       ;In HII reg WISE G21.34-0.13, dist from Anderson+ 2014
SUH 80                 ;Cyg  ;20 46 41.0 +43 29 42 ;IR   ;OC?  ;    0.65;      ;       ;                                                       ;
SUH 82                 ;Cyg  ;20 46 29.0 +44 53 10 ;IR   ;OC?  ;    0.50;      ;       ;                                                       ;
SUH 84                 ;Cyg  ;21 02 33.0 +47 12 29 ;IR   ;OC?  ;    0.90;      ;       ;                                                       ;
SUH 85                 ;Cyg  ;21 02 02.0 +48 02 06 ;IR   ;OC?  ;    0.40;      ;       ;                                                       ;
SUH 86                 ;Cyg  ;21 05 19.0 +47 34 16 ;IR   ;OC?  ;    0.60;      ;       ;                                                       ;
SUH 88                 ;Cyg  ;21 13 57.0 +47 39 14 ;IR   ;OC?  ;    0.60;      ;       ;                                                       ;
SUH 89                 ;Cyg  ;21 26 45.0 +51 57 43 ;IR   ;OC?  ;    0.55;      ;       ;                                                       ;
SUH 9                  ;Sct  ;18 34 57.0 -09 53 42 ;IR   ;EC   ;    0.90;  4000;       ;                                                       ;In HII reg WISE G22.25-0.88, dist from Urquhart+ 2018
SUH 91                 ;Cyg  ;21 37 15.0 +51 29 46 ;IR   ;OC?  ;    1.00;      ;       ;                                                       ;
SUH 94                 ;Cyg  ;21 49 58.0 +53 33 40 ;IR   ;OC?  ;    1.40;      ;       ;                                                       ;
SUH 97                 ;Cep  ;22 00 58.0 +56 04 44 ;IR   ;OC?  ;    0.30;      ;       ;                                                       ;
SUH 98                 ;Cep  ;22 02 04.0 +56 03 54 ;IR   ;OC?  ;    0.55;      ;       ;                                                       ;
SUH 99                 ;Lac  ;22 18 06.0 +53 12 19 ;Op   ;EC   ;    1.00;  3380;       ;                                                       ;Dist from Yang 2002
Saloranta 19           ;Cyg  ;21 59 54.0 +51 49 00 ;Op   ;OC?  ;    3.00;      ;       ;                                                       ;
Saloranta 21           ;Cas  ;23 00 40.0 +56 20 02 ;Op   ;OC?  ;    2.50;      ;       ;                                                       ;
Santa 118              ;Ori  ;05 51 47.0 +05 27 51 ;Op   ;OC?  ;    7.00;      ;       ;                                                       ;
Santa 129              ;Cam  ;05 50 04.0 +80 05 32 ;Op   ;OC?  ;    8.00;      ;       ;                                                       ;
Santa 143              ;Pyx  ;08 35 57.0 -32 21 48 ;Op   ;OC   ;   10.00;  3600;       ;                                                       ;
Santa 199              ;Cyg  ;20 42 03.0 +53 16 32 ;Op   ;OC?  ;    6.00;      ;       ;                                                       ;Elongated: 6 x 4, W shape asterism with loose Grp of stars, possible cluster, some traces of nebula? stars 9...13m
Santa 206              ;Cas  ;23 00 53.0 +53 23 27 ;Op   ;OC?  ;    4.00;      ;       ;                                                       ;Very good cluster of stars, clusterlike, 30 stars 11...15 in a relatively dense group., traces of reflection nebula around brightest star (TYC 3985 1156)
Santa 63               ;CMa  ;07 25 12.0 -17 59 41 ;Op   ;OC?  ;   16.00;  2700;       ;                                                       ;Dubious
Santa 71               ;CMa  ;07 08 10.0 -13 51 52 ;Op   ;OC   ;   18.00;  2000;       ;                                                       ;
Sco I                  ;Oph  ;16 25 29.9 -23 25 47 ;Op   ;YAs? ;  540.00;   210;       ;Sco T1                                                 ;Alpha Sco
Sco OB1                ;Sco  ;16 53 58.0 -41 39 00 ;Op   ;OB   ;  120.00;  1920;       ;Ass-67                                                 ;Multicenter association
Sco OB2 B              ;Cen  ;14 04 36.0 -44 13 00 ;Op   ;OB   ;  498.00;   180;       ;                                                       ;
Sco OB8                ;Sco  ;17 18 55.0 -36 23 52 ;Op   ;OB   ;  300.00;  1700;       ;                                                       ;Includes WR stars, rel. RCW 123, adopted dist of NGC 6334
Sco R5                 ;Sco  ;17 12 00.0 -39 00 00 ;Op   ;YAs? ;  170.00;   870;       ;                                                       ;
Sco R6                 ;Sco  ;17 22 34.0 -35 00 37 ;Op   ;OB   ;  120.00;  2630;       ;                                                       ;Related to NGC 6334, RCW 131
Sct OB2                ;Sct  ;18 35 22.0 -09 04 09 ;Op   ;OB   ;   95.00;  1600;       ;Ass-12                                                 ;Multicenter association. Doubtful, I found a candidate at 18 43 24.4 -07 05 55, 600' 1940 pc
Ser-Sct                ;Sgr  ;18 38 06.0 -16 23 00 ;Op   ;OB?  ;  420.00;  1500;       ;Ass-7                                                  ;
Serpens G3-G6 Cl       ;Ser  ;18 29 01.5 +00 29 40 ;IR   ;EC   ;    8.00;   372;       ;HCP Cluster B, Serpens NH3                             ;Diam from 2MASS image
Serpens South Cl       ;Ser  ;18 30 03.0 -02 01 58 ;IR   ;EC   ;    5.00;   472;       ;GBA 1                                                  ;From 2008ApJ...673L.151G, dist avg of Urquhart and Dzib (VLBI)
Sex Dw Cl              ;Sex  ;10 13 03.0 -01 29 00 ;Op   ;OCR  ;    6.50; 85300;       ;                                                       ;Poss relic cluster in Sextans Dwarf, see Kim et al. (2019)
Sgr OB1 C              ;Sgr  ;18 03 18.0 -22 42 00 ;Op   ;OB   ;   60.00;  1440;       ;                                                       ;
Sgr OB5                ;Sgr  ;17 50 27.0 -29 31 30 ;Op   ;OB   ;  324.00;  2400;       ;Ass-1                                                  ;Large multicenter association
Sgr R1                 ;Sgr  ;18 16 00.0 -18 00 00 ;Op   ;YAs? ;  420.00;  1150;       ;                                                       ;
Sigma Ori Cl           ;Ori  ;05 38 43.7 -02 36 00 ;Op   ;OC   ;   48.00;   390;       ;Escorial 7, Ori III, Ori T3                            ;
Slotegraaf 27          ;Car  ;10 28 46.0 -62 34 33 ;Op   ;OC?  ;    3.60;      ;       ;                                                       ;
Slotegraaf 31          ;Car  ;11 02 03.0 -61 54 48 ;Op   ;OC?  ;   30.00;      ;       ;                                                       ;
Slotegraaf 35          ;Cen  ;11 22 30.0 -58 20 18 ;Op   ;OC?  ;   36.00;      ;       ;                                                       ;
Slotegraaf 37          ;Cen  ;11 35 46.4 -60 58 57 ;Op   ;OC   ;   44.40;  4167;   8.64;                                                       ;
Spitzer J1517-5635     ;Cir  ;15 17 50.0 -56 35 38 ;IR   ;OC?  ;    2.60;  2520;       ;                                                       ;Somewhat dubious
Spitzer J1638-4726     ;Ara  ;16 38 57.1 -47 26 18 ;IR   ;EC?  ;    0.40;  3000;       ;                                                       ;
Spitzer J1750-2639     ;Sgr  ;17 50 45.8 -26 39 51 ;IR   ;OC?  ;    2.10;      ;       ;                                                       ;
Spitzer J1751-2633     ;Sgr  ;17 51 20.6 -26 33 58 ;IR   ;OC?  ;    0.80;      ;       ;                                                       ;
Spitzer J1834-0842     ;Sct  ;18 34 37.2 -08 42 35 ;IR   ;EC   ;    1.00;  4700;       ;                                                       ;In HII reg WISE G23.27-0.25
Spitzer J1835-0855     ;Sct  ;18 35 09.0 -08 55 24 ;IR   ;EC   ;    1.20;  4600;       ;                                                       ;Dist from Urquhart+, 2018
Spitzer J1837-0614     ;Sct  ;18 37 31.1 -06 14 10 ;IR   ;EC   ;    0.70;  6600;       ;                                                       ;In HII reg WISE G25.79+0.23
Spitzer J1844-0345     ;Aql  ;18 44 51.2 -03 45 40 ;IR   ;EC   ;    1.20;  4760;       ;                                                       ;Near RM 16, in UC HII region G28.83-0.25, at the border of the shell of HII reg. WAM G28.82-0.22
Spitzer J1845-0230     ;Aql  ;18 45 51.7 -02 30 16 ;IR   ;EC   ;    1.00;  5820;       ;                                                       ;In HII reg WISE G30.06+0.09, dist from Traficante+ 2015
Spitzer J1846-0245     ;Aql  ;18 46 11.0 -02 45 14 ;IR   ;OC   ;    1.60;  4900;       ;                                                       ;Dist from GDR2 mean
Spitzer J1848-0110     ;Aql  ;18 48 41.9 -01 10 09 ;IR   ;EC   ;    0.50;  6100;       ;                                                       ;In HII reg WISE G31.58+0.07, dist from Anderson+ 2014
Spitzer J1848-0111     ;Aql  ;18 48 57.4 -01 11 55 ;IR   ;OC?  ;    6.00;  3000;       ;                                                       ;Very uncertain dist: mean of 4* only
Spitzer J1850-0001     ;Aql  ;18 50 31.0 -00 01 58 ;IR   ;EC   ;    1.40; 13100;       ;Russeil 67                                             ;In HII reg WISE G32.80+0.19
Spitzer J1852+0046     ;Aql  ;18 52 11.4 +00 46 37 ;IR   ;OC   ;    4.00;  3300;       ;                                                       ;Very uncertain dist: avg of gaia stars in the field
Spitzer J1853+0204     ;Aql  ;18 53 56.0 +02 04 04 ;IR   ;EC   ;    0.70;  5500;       ;IRAS 18513+0200                                        ;V compact, v uncertain dist based on only 1 faint GDR2 star
Spitzer J1854+0201     ;Aql  ;18 54 07.6 +02 01 44 ;IR   ;EC   ;    0.70;  2540;       ;                                                       ;In HII reg, dist from Ellsworth-Bowers+, 2015
Spitzer J1901+0454     ;Aql  ;19 01 33.5 +04 54 19 ;IR   ;OC?  ;    1.60;  1521;       ;                                                       ;Dist v uncert: median dist of stars in Bailer-Jones+ 2018
Spitzer J1925+1516     ;Aql  ;19 25 34.7 +15 16 30 ;IR   ;EC   ;    0.50;  4400;       ;                                                       ;
Steine 16              ;Per  ;04 48 45.0 +48 31 12 ;Op   ;OC?  ;    0.80;      ;       ;                                                       ;
Steine 26              ;Cyg  ;20 21 20.0 +37 20 48 ;Op   ;OC?  ;    1.60;      ;       ;                                                       ;
Steine J1946+1923      ;Sge  ;19 46 33.0 +19 23 50 ;Op   ;OC   ;    1.20;  3400;       ;                                                       ;
Steine J2101+4420      ;Cyg  ;21 01 42.0 +44 20 00 ;Op   ;OC?  ;    2.00;      ;       ;                                                       ;
Streicher 45           ;Pup  ;08 15 44.0 -23 10 48 ;Op   ;OC?  ;    7.00;      ;       ;                                                       ;
Streicher 5            ;Cas  ;01 14 48.0 +59 47 34 ;Op   ;OC?  ;    5.50;      ;       ;                                                       ;
Streicher 78           ;Vul  ;19 49 34.0 +28 33 30 ;Op   ;OC?  ;   23.60;  4033;   7.42;FF 1724                                                ;Dubious
Streicher 82           ;Mus  ;12 29 24.0 -70 04 57 ;Op   ;OC?  ;    8.50;  4600;       ;Streicher J1230-70                                     ;Somewhat dubious
Streicher J1021-6940   ;Car  ;10 21 30.0 -69 40 24 ;Op   ;OC?  ;    2.00;      ;       ;                                                       ;
TC 0022+6431           ;Cas  ;00 22 23.0 +64 31 42 ;Op   ;OC?  ;    2.50;      ;       ;                                                       ;
TC 0110+6131           ;Cas  ;01 10 34.0 +61 31 00 ;Op   ;OC?  ;   10.00;      ;       ;                                                       ;
TC 0150+5930           ;Cas  ;01 50 16.5 +59 30 40 ;Op   ;OC?  ;    1.80;      ;       ;                                                       ;
TC 0150+5931           ;Cas  ;01 50 46.0 +59 31 12 ;Op   ;OC?  ;    7.50;      ;       ;                                                       ;
TC 0151+5944           ;Cas  ;01 51 02.0 +59 44 30 ;Op   ;OC?  ;    2.70;      ;       ;                                                       ;
TC 0233+5618           ;Per  ;02 33 16.0 +56 18 30 ;Op   ;OC?  ;    1.40;      ;       ;HD 236970 Grp                                          ;
TC 0404+4938           ;Per  ;04 04 20.0 +49 38 00 ;Op   ;OC?  ;    4.60;      ;       ;                                                       ;
TC 0422+5307           ;Cam  ;04 22 39.0 +53 07 54 ;Op   ;OC?  ;    6.00;      ;       ;                                                       ;
TC 0451+4107           ;Aur  ;04 51 42.0 +41 07 42 ;Op   ;OC?  ;    5.00;      ;       ;                                                       ;
TC 0514+4123           ;Aur  ;05 14 42.0 +41 23 57 ;Op   ;OC?  ;    3.00;      ;       ;                                                       ;
TC 0555+2703           ;Tau  ;05 55 40.5 +27 02 34 ;Op   ;OC   ;    6.00;  3100;       ;                                                       ;
TC 0556+2543           ;Tau  ;05 56 05.7 +25 43 35 ;Op   ;OC?  ;    1.70;  7200;       ;                                                       ;Somewhat dubious
TC 0639+0839           ;Mon  ;06 39 51.0 +08 39 26 ;Op   ;OC?  ;    6.00;      ;       ;GSC 746-460 Grp                                        ;
TC 0643+0116           ;Mon  ;06 43 48.0 +01 16 24 ;Op   ;OC   ;    6.00;  1880;       ;Xuyi 18                                                ;
TC 0654-0751           ;Mon  ;06 54 32.5 -07 51 34 ;Op   ;OC?  ;    1.70;      ;       ;                                                       ;
TC 0702-1003           ;Mon  ;07 02 32.0 -10 03 15 ;Op   ;OC?  ;    5.00;      ;       ;HD 52891 Grp, Camargo 191                              ;
TC 0706-0907           ;Mon  ;07 06 02.0 -09 07 22 ;Op   ;OC?  ;    2.90;      ;       ;GSC 5381-2155 Grp                                      ;
TC 0718-1342           ;CMa  ;07 18 03.0 -13 42 04 ;Op   ;OC   ;    3.80;  3300;       ;HD 56831 Grp                                           ;
TC 0721-1104           ;Mon  ;07 21 28.3 -11 04 50 ;Op   ;OC?  ;    3.50;      ;       ;                                                       ;
TC 0743-2731           ;Pup  ;07 43 17.9 -27 31 02 ;Op   ;OC?  ;    4.00;      ;       ;                                                       ;
TC 0744-2121           ;Pup  ;07 44 08.0 -21 21 06 ;Op   ;OC?  ;    4.00;      ;       ;HD 62636 Grp                                           ;
TC 0746-3227           ;Pup  ;07 46 38.0 -32 27 12 ;Op   ;OC?  ;    2.50;      ;       ;GSC 7110-2146 Grp                                      ;
TC 0748-1734           ;Pup  ;07 48 28.0 -17 34 42 ;Op   ;OC?  ;    2.00;      ;       ;GSC 5985-1735 Grp                                      ;
TC 0750-2716           ;Pup  ;07 50 19.0 -27 16 12 ;Op   ;OC?  ;    4.50;      ;       ;                                                       ;
TC 0754-2550           ;Pup  ;07 54 04.0 -25 50 54 ;Op   ;OC?  ;    2.60;      ;       ;                                                       ;
TC 0810-3634           ;Pup  ;08 10 58.1 -36 34 10 ;Op   ;OC?  ;    3.00;      ;       ;                                                       ;
TC 0811-4612           ;Vel  ;08 11 26.0 -46 12 00 ;Op   ;OC?  ;   36.00;      ;       ;                                                       ;
TC 0819-4655           ;Vel  ;08 19 53.0 -46 55 00 ;Op   ;OC?  ;    1.00;      ;       ;GSC 8153-2055 Grp                                      ;
TC 0920-5306           ;Vel  ;09 20 15.0 -53 06 40 ;Op   ;OC?  ;    3.20;      ;       ;                                                       ;
TC 0943-5500           ;Vel  ;09 43 10.0 -55 00 54 ;Op   ;OC?  ;    5.50;      ;       ;                                                       ;
TC 1017-6235           ;Car  ;10 17 54.0 -62 35 10 ;Op   ;OC?  ;    1.10;      ;       ;GSC 8960-1668 Grp                                      ;
